2023-02-17 15:04:39,140 INFO    MainThread:30476 [wandb_setup.py:_flush():68] Configure stats pid to 30476
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/.config/wandb/settings
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/Kaggles/wandb/settings
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_init.py:_log_setup():492] Logging user logs to /home/jeffreymo572/Kaggles/wandb/offline-run-20230217_150439-2fb8n4nd/logs/debug.log
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_init.py:_log_setup():493] Logging internal logs to /home/jeffreymo572/Kaggles/wandb/offline-run-20230217_150439-2fb8n4nd/logs/debug-internal.log
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_init.py:init():532] calling init triggers
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'MLP[18,32,16,16,1]', 'dataset': 'Kaggle S3E7', 'epochs': 1000, 'data cleaning': 'None'}
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_init.py:init():588] starting backend
2023-02-17 15:04:39,141 INFO    MainThread:30476 [wandb_init.py:init():592] setting up manager
2023-02-17 15:04:39,142 INFO    MainThread:30476 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-17 15:04:39,144 INFO    MainThread:30476 [wandb_init.py:init():599] backend started and connected
2023-02-17 15:04:39,146 INFO    MainThread:30476 [wandb_init.py:init():687] updated telemetry
2023-02-17 15:04:39,153 INFO    MainThread:30476 [wandb_init.py:init():775] starting run threads in backend
2023-02-17 15:04:45,779 INFO    MainThread:30476 [wandb_run.py:_console_start():2114] atexit reg
2023-02-17 15:04:45,779 INFO    MainThread:30476 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-17 15:04:45,779 INFO    MainThread:30476 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-17 15:04:45,779 INFO    MainThread:30476 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-17 15:04:45,780 INFO    MainThread:30476 [wandb_init.py:init():817] run started, returning control to user process
2023-02-17 15:06:13,672 WARNING MsgRouterThr:30476 [router.py:message_loop():77] message_loop has been closed
