2023-02-17 15:51:52,225 INFO    MainThread:1363 [wandb_setup.py:_flush():68] Configure stats pid to 1363
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/.config/wandb/settings
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/Kaggles/wandb/settings
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_init.py:_log_setup():492] Logging user logs to /home/jeffreymo572/Kaggles/wandb/offline-run-20230217_155152-ckxwy7ad/logs/debug.log
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_init.py:_log_setup():493] Logging internal logs to /home/jeffreymo572/Kaggles/wandb/offline-run-20230217_155152-ckxwy7ad/logs/debug-internal.log
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_init.py:init():532] calling init triggers
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'MLP[18,32,16,16,1]', 'dataset': 'Kaggle S3E7', 'epochs': 1000, 'data cleaning': 'None'}
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_init.py:init():588] starting backend
2023-02-17 15:51:52,226 INFO    MainThread:1363 [wandb_init.py:init():592] setting up manager
2023-02-17 15:51:52,227 INFO    MainThread:1363 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-17 15:51:52,228 INFO    MainThread:1363 [wandb_init.py:init():599] backend started and connected
2023-02-17 15:51:52,230 INFO    MainThread:1363 [wandb_init.py:init():687] updated telemetry
2023-02-17 15:51:52,236 INFO    MainThread:1363 [wandb_init.py:init():775] starting run threads in backend
2023-02-17 15:51:58,662 INFO    MainThread:1363 [wandb_run.py:_console_start():2114] atexit reg
2023-02-17 15:51:58,662 INFO    MainThread:1363 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-17 15:51:58,663 INFO    MainThread:1363 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-17 15:51:58,663 INFO    MainThread:1363 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-17 15:51:58,663 INFO    MainThread:1363 [wandb_init.py:init():817] run started, returning control to user process
