2023-02-22 00:17:45,922 INFO    MainThread:3914 [wandb_setup.py:_flush():68] Configure stats pid to 3914
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/.config/wandb/settings
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/Kaggles/wandb/settings
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_init.py:_log_setup():492] Logging user logs to /home/jeffreymo572/Kaggles/wandb/offline-run-20230222_001745-fpfuu0hy/logs/debug.log
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_init.py:_log_setup():493] Logging internal logs to /home/jeffreymo572/Kaggles/wandb/offline-run-20230222_001745-fpfuu0hy/logs/debug-internal.log
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_init.py:init():532] calling init triggers
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'MLP[18,128,16,64,1]', 'dataset': 'Kaggle S3E7', 'epochs': 1000, 'data cleaning': 'None', 'optimizer': 'Adam'}
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_init.py:init():588] starting backend
2023-02-22 00:17:45,923 INFO    MainThread:3914 [wandb_init.py:init():592] setting up manager
2023-02-22 00:17:45,925 INFO    MainThread:3914 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-22 00:17:45,926 INFO    MainThread:3914 [wandb_init.py:init():599] backend started and connected
2023-02-22 00:17:45,928 INFO    MainThread:3914 [wandb_init.py:init():687] updated telemetry
2023-02-22 00:17:45,937 INFO    MainThread:3914 [wandb_init.py:init():775] starting run threads in backend
2023-02-22 00:17:54,553 INFO    MainThread:3914 [wandb_run.py:_console_start():2114] atexit reg
2023-02-22 00:17:54,553 INFO    MainThread:3914 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-22 00:17:54,554 INFO    MainThread:3914 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-22 00:17:54,554 INFO    MainThread:3914 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-22 00:17:54,554 INFO    MainThread:3914 [wandb_init.py:init():817] run started, returning control to user process
2023-02-22 00:17:55,856 WARNING MsgRouterThr:3914 [router.py:message_loop():77] message_loop has been closed
