2023-02-18 12:35:19,311 INFO    MainThread:2200 [wandb_setup.py:_flush():68] Configure stats pid to 2200
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/.config/wandb/settings
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/Kaggles/wandb/settings
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_init.py:_log_setup():492] Logging user logs to /home/jeffreymo572/Kaggles/wandb/run-20230218_123519-t5e0t0w0/logs/debug.log
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_init.py:_log_setup():493] Logging internal logs to /home/jeffreymo572/Kaggles/wandb/run-20230218_123519-t5e0t0w0/logs/debug-internal.log
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_init.py:init():532] calling init triggers
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'MLP[18,32,16,16,1]', 'dataset': 'Kaggle S3E7', 'epochs': 1000, 'data cleaning': 'None'}
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_init.py:init():588] starting backend
2023-02-18 12:35:19,312 INFO    MainThread:2200 [wandb_init.py:init():592] setting up manager
2023-02-18 12:35:19,313 INFO    MainThread:2200 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-18 12:35:19,314 INFO    MainThread:2200 [wandb_init.py:init():599] backend started and connected
2023-02-18 12:35:19,315 INFO    MainThread:2200 [wandb_init.py:init():687] updated telemetry
2023-02-18 12:35:19,322 INFO    MainThread:2200 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-18 12:35:20,141 INFO    MainThread:2200 [wandb_run.py:_on_init():2134] communicating current version
2023-02-18 12:35:20,534 INFO    MainThread:2200 [wandb_run.py:_on_init():2143] got version response 
2023-02-18 12:35:20,534 INFO    MainThread:2200 [wandb_init.py:init():775] starting run threads in backend
2023-02-18 12:35:26,986 INFO    MainThread:2200 [wandb_run.py:_console_start():2114] atexit reg
2023-02-18 12:35:26,986 INFO    MainThread:2200 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-18 12:35:26,986 INFO    MainThread:2200 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-18 12:35:26,986 INFO    MainThread:2200 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-18 12:35:26,986 INFO    MainThread:2200 [wandb_init.py:init():817] run started, returning control to user process
2023-02-18 12:37:04,076 WARNING MsgRouterThr:2200 [router.py:message_loop():77] message_loop has been closed
