2023-02-22 11:20:18,706 INFO    MainThread:1612 [wandb_setup.py:_flush():68] Configure stats pid to 1612
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/.config/wandb/settings
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_setup.py:_flush():68] Loading settings from /home/jeffreymo572/Kaggles/wandb/settings
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_init.py:_log_setup():492] Logging user logs to /home/jeffreymo572/Kaggles/wandb/run-20230222_112018-y5h44ri6/logs/debug.log
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_init.py:_log_setup():493] Logging internal logs to /home/jeffreymo572/Kaggles/wandb/run-20230222_112018-y5h44ri6/logs/debug-internal.log
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_init.py:init():532] calling init triggers
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'MLP[18,128,16,64,1]', 'dataset': 'Kaggle S3E7', 'epochs': 1000, 'data cleaning': 'None', 'optimizer': 'Adam'}
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_init.py:init():588] starting backend
2023-02-22 11:20:18,707 INFO    MainThread:1612 [wandb_init.py:init():592] setting up manager
2023-02-22 11:20:18,709 INFO    MainThread:1612 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-22 11:20:18,710 INFO    MainThread:1612 [wandb_init.py:init():599] backend started and connected
2023-02-22 11:20:18,712 INFO    MainThread:1612 [wandb_init.py:init():687] updated telemetry
2023-02-22 11:20:18,720 INFO    MainThread:1612 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-22 11:20:19,679 INFO    MainThread:1612 [wandb_run.py:_on_init():2134] communicating current version
2023-02-22 11:20:20,098 INFO    MainThread:1612 [wandb_run.py:_on_init():2143] got version response 
2023-02-22 11:20:20,098 INFO    MainThread:1612 [wandb_init.py:init():775] starting run threads in backend
2023-02-22 11:20:28,863 INFO    MainThread:1612 [wandb_run.py:_console_start():2114] atexit reg
2023-02-22 11:20:28,863 INFO    MainThread:1612 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-22 11:20:28,863 INFO    MainThread:1612 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-22 11:20:28,863 INFO    MainThread:1612 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-22 11:20:28,864 INFO    MainThread:1612 [wandb_init.py:init():817] run started, returning control to user process
2023-02-22 11:57:06,840 WARNING MsgRouterThr:1612 [router.py:message_loop():77] message_loop has been closed
